Make,Model,Year,Color,Price,Foreign/Local,Engine Type,Mileage
Nissan,Hardbody,2011,White,"KSh 1,200,000",Kenyan Used,Manual,
Toyota,Hilux,2018,Gray,"KSh 2,399,000",Kenyan Used,Manual,
Toyota,Hilux,2018,Gray,"KSh 2,700,000",Kenyan Used,Manual,
Nissan,Advan,2010,Blue,"KSh 450,000",Kenyan Used,Automatic,
Toyota,Allion,2017,Burgundy,"KSh 2,150,000",Foreign Used,Automatic,78540
Nissan,Note,2011,Silver,"KSh 570,000",Kenyan Used,Automatic,
Toyota,Sai,2014,Black,"KSh 1,350,000",Kenyan Used,Automatic,97000
Honda,CR-V,2006,Silver,"KSh 900,000",Kenyan Used,Automatic,255000
Toyota,Hilux,2020,Silver,"KSh 2,850,000",Kenyan Used,Manual,88406
Daihatsu,Mira,2016,White,"KSh 720,000",Foreign Used,Automatic,
Volkswagen,Polo,2016,Gray,"KSh 1,400,000",Foreign Used,Automatic,
Toyota,Harrier,2016,Black,"KSh 3,650,000",Foreign Used,Automatic,62000
Toyota,Vitz,2008,White,"KSh 530,000",Kenyan Used,Automatic,
Toyota,Mark,2005,Silver,"KSh 420,000",Kenyan Used,Automatic,150000
Toyota,Mark,2014,Gray,"KSh 1,680,000",Kenyan Used,Automatic,88000
Toyota,TownAce,2006,White,"KSh 580,000",Kenyan Used,Automatic,
Subaru,Impreza,2016,Blue,"KSh 2,200,000",Foreign Used,Automatic,
Toyota,Corolla,2016,White,"KSh 1,680,000",Foreign Used,Automatic,88000
Honda,Fit,,Black,"KSh 830,000",Kenyan Used,Automatic,144023
Toyota,Vanguard,2013,Black,"KSh 2,100,000",Kenyan Used,Automatic,
Subaru,Forester,2016,Red,"KSh 3,890,000",Foreign Used,Automatic,59000
Volkswagen,Touran,2016,Blue,"KSh 1,850,000",Foreign Used,Automatic,
Toyota,Vitz,2015,White,"KSh 1,150,000",Kenyan Used,Automatic,82000
Toyota,Land,2017,White,"KSh 6,500,000",Foreign Used,Automatic,45000
Nissan,Note,2014,Silver,"KSh 730,000",Kenyan Used,Automatic,
Suzuki,Alto,2013,White,"KSh 550,000",Kenyan Used,Automatic,
Mazda,RX-8,2005,Gray,"KSh 350,000",Kenyan Used,Automatic,44344
Toyota,Premio,2008,Burgundy,"KSh 720,000",Kenyan Used,Automatic,
Mitsubishi,Pajero,2017,Silver,"KSh 5,700,000",Foreign Used,Automatic,78000
Toyota,ISIS,2014,Pearl,"KSh 1,275,000",Kenyan Used,Automatic,98032
Mercedes-Benz,C200,2009,Silver,"KSh 1,599,999",Kenyan Used,Automatic,178000
Toyota,Harrier,2016,Pearl,"KSh 3,400,000",Foreign Used,Automatic,93169
Toyota,Axio,2008,White,"KSh 690,000",Kenyan Used,Automatic,
Nissan,X-Trail,2015,White,"KSh 1,980,000",Kenyan Used,Automatic,
Toyota,Probox,2010,Silver,"KSh 750,000",Kenyan Used,Automatic,75327
Nissan,Bluebird,2005,White,"KSh 300,000",Kenyan Used,Automatic,202136
Nissan,Skyline,2016,Blue,"KSh 2,250,000",Foreign Used,Automatic,
Nissan,Note,2016,Gray,"KSh 1,250,000",Foreign Used,Automatic,
Land,Rover,2003,Silver,"KSh 945,000",Kenyan Used,Automatic,11110
Mazda,Demio,2008,Silver,"KSh 430,000",Foreign Used,Automatic,196852
Audi,Q5,,Black,"KSh 4,600,000",Foreign Used,Automatic,520000
Toyota,Vellfire,2013,Purple,"KSh 2,000,000",Kenyan Used,AMT,126000
Toyota,Sienta,2016,Green,"KSh 1,400,000",Foreign Used,Automatic,84574
Mitsubishi,Pajero,2016,Silver,"KSh 4,800,000",Foreign Used,Automatic,
Land,Rover,2016,Brown,"KSh 16,500,000",Foreign Used,Automatic,40000
Toyota,Hilux,2020,Silver,"KSh 5,350,000",Foreign Used,Manual,98000
Suzuki,Alto,2014,White,"KSh 550,000",Kenyan Used,Automatic,
Suzuki,Alto,2013,White,"KSh 490,000",Kenyan Used,Automatic,
Nissan,Note,2014,Silver,"KSh 660,000",Kenyan Used,Automatic,
Nissan,X-Trail,2015,Red,"KSh 2,150,000",Foreign Used,Automatic,74000
Toyota,Land,2003,Silver,"KSh 1,499,000",Kenyan Used,Automatic,172000
Honda,Fit,2011,Pink,"KSh 550,000",Kenyan Used,Automatic,169000
Toyota,Corolla,2016,Blue,"KSh 1,799,000",Foreign Used,Automatic,27000
Mazda,Demio,2014,White,"KSh 765,000",Kenyan Used,Automatic,
Nissan,March,2011,Silver,"KSh 450,000",Kenyan Used,Automatic,250000
Subaru,Impreza,2010,Silver,"KSh 800,000",Kenyan Used,Automatic,155942
Mitsubishi,RVR,2014,White,"KSh 1,650,000",Foreign Used,CVT,125454
Volkswagen,Tiguan,2017,Blue,"KSh 3,800,000",Foreign Used,Automatic,42000
Toyota,Premio,2005,Silver,"KSh 770,000",Kenyan Used,Automatic,186000
Subaru,Forester,2016,Black,"KSh 2,995,000",Foreign Used,Automatic,35407
Nissan,Note,2012,Silver,"KSh 620,000",Kenyan Used,Automatic,148708
Toyota,Land,2017,Black,"KSh 7,300,000",Foreign Used,Automatic,55000
Nissan,Sunny,2001,White,"KSh 280,000",Kenyan Used,Automatic,252521
Toyota,Noah,2010,White,"KSh 1,050,000",Foreign Used,Automatic,126445
Toyota,Vitz,2017,Silver,"KSh 1,200,000",Foreign Used,Automatic,63000
Mazda,Demio,2016,White,"KSh 1,380,000",Foreign Used,Automatic,
Toyota,Corolla,2016,Blue,"KSh 1,765,000",Foreign Used,Automatic,101755
Toyota,Mark,2007,Black,"KSh 649,000",Kenyan Used,Automatic,112000
Toyota,IST,2004,Silver,"KSh 499,000",Kenyan Used,Automatic,173000
Toyota,Hilux,2005,White,"KSh 1,900,000",Kenyan Used,Manual,
Toyota,Hilux,2008,Silver,"KSh 1,900,000",Kenyan Used,Automatic,
Suzuki,Alto,2014,Silver,"KSh 540,000",Kenyan Used,Automatic,
Toyota,Axio,2010,White,"KSh 890,000",Kenyan Used,Automatic,142000
Nissan,Juke,2012,Black,"KSh 1,050,000",Kenyan Used,Automatic,116496
