Make,Model,Year,Color,Price,Foreign/Local,Engine Type,Mileage
Toyota,Corolla,2005,White,"KSh 590,000",Kenyan Used,Automatic,145238
Honda,Fit,2010,Silver,"KSh 530,000",Kenyan Used,Automatic,
Land,Rover,2016,Gray,"KSh 6,750,000",Foreign Used,Automatic,67000
Toyota,Land,2016,White,"KSh 11,000,000",Foreign Used,Automatic,62665
Peugeot,308,2016,Gray,"KSh 1,699,999",Foreign Used,Automatic,29000
Volvo,V60,2016,Blue,"KSh 2,149,999",Foreign Used,Automatic,62000
Nissan,Sylphy,2016,Silver,"KSh 1,400,000",Foreign Used,Automatic,131029
Toyota,Probox,2013,White,"KSh 700,000",Kenyan Used,Automatic,126000
BMW,520i,2001,Silver,"KSh 650,000",Kenyan Used,Automatic,77000
Toyota,Vitz,2011,Black,"KSh 620,000",Kenyan Used,Automatic,145278
Toyota,Land,2013,Gray,"KSh 3,650,000",Kenyan Used,Automatic,125000
Nissan,Latio,2016,White,"KSh 1,249,000",Foreign Used,Automatic,49000
Nissan,Juke,2013,Black,"KSh 1,300,000",Kenyan Used,Automatic,
Toyota,Fun,2002,Gold,"KSh 330,000",Kenyan Used,Automatic,231669
Toyota,Corolla,2005,Silver,"KSh 1,050,000",Kenyan Used,Automatic,
Mitsubishi,Delica,2014,White,"KSh 1,100,000",Kenyan Used,Automatic,
Toyota,Land,2010,Black,"KSh 6,100,000",Kenyan Used,Automatic,
Mercedes-Benz,G-Class,2014,Black,"KSh 10,750,000",Foreign Used,Automatic,110000
Nissan,Advan,2006,Gray,"KSh 360,000",Kenyan Used,Automatic,
Toyota,Ractis,2014,Black,"KSh 890,000",Kenyan Used,Automatic,103150
Toyota,Kluger,2005,Silver,"KSh 1,080,000",Kenyan Used,Automatic,
Volkswagen,Passat,2016,Burgundy,"KSh 1,850,000",Foreign Used,Automatic,76890
Toyota,Ractis,2014,Blue,"KSh 1,200,000",Foreign Used,Automatic,44000
Nissan,Hardbody,2010,White,"KSh 1,080,000",Kenyan Used,Manual,85423
Nissan,X-Trail,2014,Blue,"KSh 1,900,000",Kenyan Used,Automatic,124400
Toyota,TownAce,2006,White,"KSh 560,000",Foreign Used,Automatic,
Nissan,Advan,2016,White,"KSh 850,000",Foreign Used,Automatic,203653
Daihatsu,Move,2016,Black,"KSh 775,000",Foreign Used,Automatic,112000
Toyota,RAV4,2014,White,"KSh 2,950,000",Kenyan Used,Automatic,
Ford,Escape,2009,Silver,"KSh 1,390,000",Kenyan Used,Automatic,
Nissan,Note,2014,Silver,"KSh 1,100,000",Kenyan Used,Automatic,
Mitsubishi,Pajero,2016,Silver,"KSh 5,495,000",Foreign Used,Automatic,49000
Toyota,Hilux,2016,Silver,"KSh 2,150,000",Kenyan Used,Manual,102000
Mercedes-Benz,GL-Class,2010,Silver,"KSh 3,950,000",Kenyan Used,Automatic,60000
Toyota,Hilux,2017,White,"KSh 5,490,000",Foreign Used,Automatic,89000
Mazda,Demio,2016,Black,"KSh 1,285,000",Foreign Used,Automatic,96000
Nissan,Latio,2013,White,"KSh 980,000",Kenyan Used,Automatic,107000
Toyota,Vitz,2011,Pearl,"KSh 510,000",Kenyan Used,Automatic,
Toyota,Starlet,2000,Blue,"KSh 360,000",Kenyan Used,Manual,
Nissan,Advan,2016,White,"KSh 900,000",Foreign Used,Automatic,75000
Volvo,V40,2014,Blue,"KSh 1,250,000",Foreign Used,Automatic,110000
Land,Rover,2005,Green,"KSh 2,500,000",Kenyan Used,Manual,202120
Mazda,Premacy,2015,Purple,"KSh 1,400,000",Foreign Used,Automatic,150000
Toyota,Voxy,2009,Black,"KSh 790,000",Kenyan Used,Automatic,
Nissan,Dayz,2016,Silver,"KSh 880,000",Foreign Used,Automatic,53000
Nissan,Note,2013,Silver,"KSh 660,000",Kenyan Used,Automatic,137500
Subaru,Impreza,2012,Black,"KSh 1,230,000",Kenyan Used,Automatic,
Toyota,Land,2016,Black,"KSh 6,300,000",Foreign Used,Automatic,67000
Toyota,Land,2018,White,"KSh 7,850,000",Foreign Used,Automatic,
Suzuki,Wagon,2008,White,"KSh 550,000",Kenyan Used,Manual,
Mercedes-Benz,M,2010,White,"KSh 2,900,000",Kenyan Used,Automatic,150000
Mazda,CX-3,2015,Gray,"KSh 1,950,000",Kenyan Used,Automatic,90000
Toyota,RAV4,2016,Red,"KSh 3,150,000",Foreign Used,Automatic,59000
Toyota,Premio,2003,Pearl,"KSh 390,000",Kenyan Used,Automatic,
Toyota,Fortuner,2017,Silver,"KSh 6,350,000",Foreign Used,Automatic,62000
Land,Rover,2015,White,"KSh 5,200,000",Foreign Used,Automatic,85000
Toyota,Harrier,2009,White,"KSh 1,850,000",Kenyan Used,Automatic,
Toyota,Land,2010,White,"KSh 2,680,000",Kenyan Used,Automatic,149000
Subaru,Outback,2016,Gold,"KSh 2,840,000",Foreign Used,Automatic,117000
Honda,Vezel,2016,Red,"KSh 2,660,000",Foreign Used,Automatic,25500
Volkswagen,Polo,2011,Red,"KSh 780,000",Kenyan Used,Automatic,122400
Toyota,Hilux,2015,Blue,"KSh 3,500,000",Foreign Used,Manual,
Toyota,Starlet,2002,Blue,"KSh 350,000",Kenyan Used,Automatic,
Toyota,Probox,2016,White,"KSh 1,180,000",Foreign Used,Automatic,150000
Toyota,Passo,2016,Silver,"KSh 1,080,000",Foreign Used,Automatic,20000
Subaru,Impreza,2016,Black,"KSh 1,600,000",Foreign Used,Automatic,118000
Suzuki,Escudo,2015,White,"KSh 1,950,000",Kenyan Used,Automatic,132541
Subaru,Exiga,2008,Blue,"KSh 750,000",Kenyan Used,Automatic,136000
Toyota,Wish,2005,White,"KSh 525,000",Kenyan Used,Automatic,186633
Subaru,Impreza,2016,Gray,"KSh 1,750,000",Foreign Used,Automatic,
Toyota,Vitz,2014,Silver,"KSh 1,080,000",Kenyan Used,Automatic,89000
Toyota,Corolla,2014,Silver,"KSh 1,280,000",Kenyan Used,Automatic,110900
Isuzu,D-MAX,2015,Green,"KSh 4,100,000",Foreign Used,Automatic,175000
Toyota,Allion,2017,White,"KSh 2,200,000",Foreign Used,Automatic,10201
Mazda,Demio,2016,Gray,"KSh 1,200,000",Foreign Used,Automatic,59000
Subaru,Forester,2004,White,"KSh 650,000",Kenyan Used,Automatic,311836
