,Make,Model,Year,Color,Price,Foreign/Local,Engine Type,Mileage
0,Nissan,Hardbody,2011,White,1200000,Kenyan Used,Manual,
1,Toyota,Hilux,2018,Gray,2399000,Kenyan Used,Manual,
2,Toyota,Hilux,2018,Gray,2700000,Kenyan Used,Manual,
3,Nissan,Advan,2010,Blue,450000,Kenyan Used,Automatic,
4,Toyota,Allion,2017,Burgundy,2150000,Foreign Used,Automatic,78540.0
5,Nissan,Note,2011,Silver,570000,Kenyan Used,Automatic,
6,Toyota,Sai,2014,Black,1350000,Kenyan Used,Automatic,97000.0
7,Honda,CR-V,2006,Silver,900000,Kenyan Used,Automatic,255000.0
8,Toyota,Hilux,2020,Silver,2850000,Kenyan Used,Manual,88406.0
9,Daihatsu,Mira,2016,White,720000,Foreign Used,Automatic,
10,Volkswagen,Polo,2016,Gray,1400000,Foreign Used,Automatic,
11,Toyota,Harrier,2016,Black,3650000,Foreign Used,Automatic,62000.0
12,Toyota,Vitz,2008,White,530000,Kenyan Used,Automatic,
13,Toyota,Mark,2005,Silver,420000,Kenyan Used,Automatic,150000.0
14,Toyota,Mark,2014,Gray,1680000,Kenyan Used,Automatic,88000.0
15,Toyota,TownAce,2006,White,580000,Kenyan Used,Automatic,
16,Subaru,Impreza,2016,Blue,2200000,Foreign Used,Automatic,
17,Toyota,Corolla,2016,White,1680000,Foreign Used,Automatic,88000.0
18,Honda,Fit,nan,Black,830000,Kenyan Used,Automatic,144023.0
19,Toyota,Vanguard,2013,Black,2100000,Kenyan Used,Automatic,
20,Subaru,Forester,2016,Red,3890000,Foreign Used,Automatic,59000.0
21,Volkswagen,Touran,2016,Blue,1850000,Foreign Used,Automatic,
22,Toyota,Vitz,2015,White,1150000,Kenyan Used,Automatic,82000.0
23,Toyota,Land,2017,White,6500000,Foreign Used,Automatic,45000.0
24,Nissan,Note,2014,Silver,730000,Kenyan Used,Automatic,
25,Suzuki,Alto,2013,White,550000,Kenyan Used,Automatic,
26,Mazda,RX-8,2005,Gray,350000,Kenyan Used,Automatic,44344.0
27,Toyota,Premio,2008,Burgundy,720000,Kenyan Used,Automatic,
28,Mitsubishi,Pajero,2017,Silver,5700000,Foreign Used,Automatic,78000.0
29,Toyota,ISIS,2014,Pearl,1275000,Kenyan Used,Automatic,98032.0
30,Mercedes-Benz,C200,2009,Silver,1599999,Kenyan Used,Automatic,178000.0
31,Toyota,Harrier,2016,Pearl,3400000,Foreign Used,Automatic,93169.0
32,Toyota,Axio,2008,White,690000,Kenyan Used,Automatic,
33,Nissan,X-Trail,2015,White,1980000,Kenyan Used,Automatic,
34,Toyota,Probox,2010,Silver,750000,Kenyan Used,Automatic,75327.0
35,Nissan,Bluebird,2005,White,300000,Kenyan Used,Automatic,202136.0
36,Nissan,Skyline,2016,Blue,2250000,Foreign Used,Automatic,
37,Nissan,Note,2016,Gray,1250000,Foreign Used,Automatic,
38,Land,Rover,2003,Silver,945000,Kenyan Used,Automatic,11110.0
39,Mazda,Demio,2008,Silver,430000,Foreign Used,Automatic,196852.0
40,Audi,Q5,nan,Black,4600000,Foreign Used,Automatic,520000.0
41,Toyota,Vellfire,2013,Purple,2000000,Kenyan Used,AMT,126000.0
42,Toyota,Sienta,2016,Green,1400000,Foreign Used,Automatic,84574.0
43,Mitsubishi,Pajero,2016,Silver,4800000,Foreign Used,Automatic,
44,Land,Rover,2016,Brown,16500000,Foreign Used,Automatic,40000.0
45,Toyota,Hilux,2020,Silver,5350000,Foreign Used,Manual,98000.0
46,Suzuki,Alto,2014,White,550000,Kenyan Used,Automatic,
47,Suzuki,Alto,2013,White,490000,Kenyan Used,Automatic,
48,Nissan,Note,2014,Silver,660000,Kenyan Used,Automatic,
49,Nissan,X-Trail,2015,Red,2150000,Foreign Used,Automatic,74000.0
50,Toyota,Land,2003,Silver,1499000,Kenyan Used,Automatic,172000.0
51,Honda,Fit,2011,Pink,550000,Kenyan Used,Automatic,169000.0
52,Toyota,Corolla,2016,Blue,1799000,Foreign Used,Automatic,27000.0
53,Mazda,Demio,2014,White,765000,Kenyan Used,Automatic,
54,Nissan,March,2011,Silver,450000,Kenyan Used,Automatic,250000.0
55,Subaru,Impreza,2010,Silver,800000,Kenyan Used,Automatic,155942.0
56,Mitsubishi,RVR,2014,White,1650000,Foreign Used,CVT,125454.0
57,Volkswagen,Tiguan,2017,Blue,3800000,Foreign Used,Automatic,42000.0
58,Toyota,Premio,2005,Silver,770000,Kenyan Used,Automatic,186000.0
59,Subaru,Forester,2016,Black,2995000,Foreign Used,Automatic,35407.0
60,Nissan,Note,2012,Silver,620000,Kenyan Used,Automatic,148708.0
61,Toyota,Land,2017,Black,7300000,Foreign Used,Automatic,55000.0
62,Nissan,Sunny,2001,White,280000,Kenyan Used,Automatic,252521.0
63,Toyota,Noah,2010,White,1050000,Foreign Used,Automatic,126445.0
64,Toyota,Vitz,2017,Silver,1200000,Foreign Used,Automatic,63000.0
65,Mazda,Demio,2016,White,1380000,Foreign Used,Automatic,
66,Toyota,Corolla,2016,Blue,1765000,Foreign Used,Automatic,101755.0
67,Toyota,Mark,2007,Black,649000,Kenyan Used,Automatic,112000.0
68,Toyota,IST,2004,Silver,499000,Kenyan Used,Automatic,173000.0
69,Toyota,Hilux,2005,White,1900000,Kenyan Used,Manual,
70,Toyota,Hilux,2008,Silver,1900000,Kenyan Used,Automatic,
71,Suzuki,Alto,2014,Silver,540000,Kenyan Used,Automatic,
